timestamp,level,service,message,endpoint,method,status_code,response_time_ms,client_ip,component,action
2026-04-28T00:57:07.988553+00:00,WARN,dummy-target-app,Accès non autorisé ou ressource introuvable: /about,/about,GET,403,203.54,208.242.167.166,auth,login_attempt
2026-04-28T00:57:14.988553+00:00,INFO,dummy-target-app,Opération réussie sur /api/login,/api/login,GET,200,139.3,6.112.179.184,db,page_visit
2026-04-28T00:57:18.988553+00:00,INFO,dummy-target-app,Opération réussie sur /api/settings,/api/settings,PUT,200,148.92,188.176.122.79,api,setting_update
2026-04-28T00:57:30.988553+00:00,INFO,dummy-target-app,Opération réussie sur /api/settings,/api/settings,PUT,200,33.62,226.78.117.81,db,page_visit
2026-04-28T00:57:35.988553+00:00,INFO,dummy-target-app,Opération réussie sur /about,/about,GET,200,26.82,187.221.51.155,auth,data_fetch
2026-04-28T00:57:36.988553+00:00,INFO,dummy-target-app,Opération réussie sur /api/data,/api/data,PUT,200,82.57,153.200.24.69,web,page_visit
2026-04-28T00:57:37.988553+00:00,INFO,dummy-target-app,Opération réussie sur /api/data,/api/data,GET,200,68.91,54.145.13.91,web,data_fetch
2026-04-28T00:57:44.988553+00:00,INFO,dummy-target-app,Opération réussie sur /about,/about,POST,201,88.84,23.189.103.64,web,data_fetch
2026-04-28T00:57:53.988553+00:00,INFO,dummy-target-app,Opération réussie sur /api/settings,/api/settings,DELETE,201,24.62,110.208.141.25,api,setting_update
2026-04-28T00:57:51.988553+00:00,INFO,dummy-target-app,Opération réussie sur /about,/about,POST,201,26.89,222.6.102.72,api,login_attempt
2026-04-28T00:57:56.988553+00:00,INFO,dummy-target-app,Opération réussie sur /api/settings,/api/settings,GET,200,32.35,253.36.9.213,web,page_visit
2026-04-28T00:58:10.988553+00:00,INFO,dummy-target-app,Opération réussie sur /api/login,/api/login,POST,201,89.92,188.215.148.139,web,data_fetch
2026-04-28T00:58:15.988553+00:00,WARN,dummy-target-app,Accès non autorisé ou ressource introuvable: /api/settings,/api/settings,POST,401,275.72,108.99.37.100,db,data_fetch
2026-04-28T00:58:11.988553+00:00,INFO,dummy-target-app,Opération réussie sur /api/settings,/api/settings,DELETE,200,68.3,242.53.215.254,web,data_fetch
2026-04-28T00:58:19.988553+00:00,INFO,dummy-target-app,Opération réussie sur /api/data,/api/data,GET,200,127.63,159.27.146.46,web,setting_update
2026-04-28T00:58:29.988553+00:00,INFO,dummy-target-app,Opération réussie sur /api/settings,/api/settings,DELETE,200,52.45,208.61.202.10,db,setting_update
2026-04-28T00:58:27.988553+00:00,ERROR,dummy-target-app,Erreur interne lors de l'accès à /api/login,/api/login,DELETE,503,838.31,199.228.55.47,db,page_visit
2026-04-28T00:58:34.988553+00:00,WARN,dummy-target-app,Accès non autorisé ou ressource introuvable: /api/settings,/api/settings,POST,401,530.86,118.183.70.213,db,login_attempt
2026-04-28T00:58:36.988553+00:00,INFO,dummy-target-app,Opération réussie sur /about,/about,GET,200,124.19,115.32.160.253,auth,login_attempt
2026-04-28T00:58:44.988553+00:00,INFO,dummy-target-app,Opération réussie sur /api/settings,/api/settings,POST,201,27.3,82.112.50.38,web,login_attempt
2026-04-28T00:58:50.988553+00:00,INFO,dummy-target-app,Page d'accueil visitée avec succès,/,POST,201,131.54,78.115.230.165,auth,setting_update
2026-04-28T00:58:56.988553+00:00,WARN,dummy-target-app,Accès non autorisé ou ressource introuvable: /,/,POST,404,707.52,20.247.226.90,web,data_fetch
2026-04-28T00:59:04.988553+00:00,INFO,dummy-target-app,Opération réussie sur /api/settings,/api/settings,PUT,200,67.87,226.198.129.133,auth,login_attempt
2026-04-28T00:59:08.988553+00:00,ERROR,dummy-target-app,Erreur interne lors de l'accès à /api/settings,/api/settings,GET,500,2299.02,83.3.57.161,api,setting_update
2026-04-28T00:59:08.988553+00:00,INFO,dummy-target-app,Opération réussie sur /api/login,/api/login,GET,200,93.84,210.114.219.2,api,page_visit
